Year,Funder,State,Money
2023,AMAZON.COM SERVICES LLC,District of Columbia,497305.43
2023,Western States Petroleum Assn.,California,496301.52
2022,Western States Petroleum Assn.,California,446805.56
2022,AMAZON.COM SERVICES LLC,District of Columbia,437504.86
2021,Western States Petroleum Assn.,California,430493.96
2020,Western States Petroleum Assn.,California,426836.18
2019,Western States Petroleum Assn.,California,420408.33
2021,AMAZON.COM SERVICES LLC,District of Columbia,408788.38
2018,Western States Petroleum Assn.,California,402523.14
2020,State Privacy & Security Coalition,Maryland,377742
2021,PHARMACEUTICAL RSRCH/MFG OF AMERICA,District of Columbia,365147.07
2020,AMAZON.COM SERVICES LLC,District of Columbia,344391.27
2020,PHARMACEUTICAL RSRCH/MFG OF AMERICA,District of Columbia,342081.28
2019,PHARMACEUTICAL RSRCH/MFG OF AMERICA,District of Columbia,320716.06
2017,Western States Petroleum Assn.,California,319999.92
2016,Western States Petroleum Assn.,California,319999.92
2022,PHARMACEUTICAL RSRCH/MFG OF AMERICA,District of Columbia,309952.26
2022,LYFT INC,California,257592.3
2018,PHARMACEUTICAL RSRCH/MFG OF AMERICA,District of Columbia,238982.97
2023,Chevron U.S.A. Inc. and Affiliates,California,234342.14
2016,"Elevance Health, and its Affiliates",District of Columbia,231000
2019,AMAZON.COM SERVICES LLC,District of Columbia,224594.22
2023,ALTRIA CLIENT SERVICES LLC & ITS AFFILIATES,California,224294.94
2023,"Elevance Health, and its Affiliates",District of Columbia,219000
2023,AMERICAN FAMILY MUTUAL INSURANCE,Wisconsin,206669.64
2018,ALTRIA CLIENT SERVICES LLC & ITS AFFILIATES,California,200765.8
2021,ENTERTAINMENT SOFTWARE ASSN,District of Columbia,195287.36
2019,Uber Technologies Inc and Affiliates,California,195113
2022,ENTERTAINMENT SOFTWARE ASSN,District of Columbia,195000
2023,ENTERTAINMENT SOFTWARE ASSN,District of Columbia,195000
2017,PHARMACEUTICAL RSRCH/MFG OF AMERICA,District of Columbia,193122.25
2021,VERIZON,California,192000
2020,VERIZON,California,192000
2019,VERIZON,California,192000
2019,ALTRIA CLIENT SERVICES LLC & ITS AFFILIATES,California,189656.88
2023,PHARMACEUTICAL RSRCH/MFG OF AMERICA,District of Columbia,188252.7
2017,ALTRIA CLIENT SERVICES LLC & ITS AFFILIATES,California,187765.8
2023,Molina Healthcare Inc,California,183755
2018,VERIZON,California,183000
2021,MedImpact Healthcare Systems Inc.,California,180000
2023,PACIFICORP,Oregon,177900
2017,VERIZON,California,177000
2022,ALTRIA CLIENT SERVICES LLC & ITS AFFILIATES,California,176256.25
2016,PHARMACEUTICAL RSRCH/MFG OF AMERICA,District of Columbia,172790.89
2020,Renewable Energy Group,Iowa,171564
2022,NW GROCERY ASSN,Oregon,171000
2023,LYFT INC,California,170239.9
2023,AMERICAN CHEMISTRY COUNCIL,California,169999.98
2022,Renewable Energy Group,Iowa,169934.81
2023,NW GROCERY ASSN,Oregon,168000
2022,PHARMACEUTICAL CARE MANAGEMENT ASSN,District of Columbia,167500.01
2022,"DoorDash, Inc",California,166813.14
2020,Uber Technologies Inc and Affiliates,California,166630.9
2020,"CrossFit, Inc.",District of Columbia,166153.78
2022,"Elevance Health, and its Affiliates",District of Columbia,166000
2019,CIGNA CORPORATE SERVICES,Connecticut,165031.24
2023,"DoorDash, Inc",California,161530.89
2021,"DoorDash, Inc",California,161460.34
2018,Uber Technologies Inc and Affiliates,California,159508.54
2017,Uber Technologies Inc and Affiliates,California,159456.64
2023,Uber Technologies Inc and Affiliates,California,159435.43
2022,Oregon Beverage Recycling Cooperative,Oregon,156000
2023,Oregon Beverage Recycling Cooperative,Oregon,156000
2018,AMAZON.COM SERVICES LLC,District of Columbia,155631.4
2020,ALTRIA CLIENT SERVICES LLC & ITS AFFILIATES,California,153722.64
2021,NW GROCERY ASSN,Oregon,153000
2023,STATE FARM INSURANCE COMPANIES,California,150783.31
2016,Uber Technologies Inc and Affiliates,California,150577
2022,Neste US Inc,Virginia,150000
2021,Neste US Inc,Virginia,150000
2023,Neste US Inc,Virginia,150000
2022,Uber Technologies Inc and Affiliates,California,149795.55
2021,ALTRIA CLIENT SERVICES LLC & ITS AFFILIATES,California,149349.55
2022,WestRock,Georgia,149050
2023,"Meta Platforms, Inc.",California,148463.57
2022,PACIFICORP,Oregon,147900
2022,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,Illinois,147232.27
